lag_ps,msd_nm2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.202135108916666320e-02
2.000000000000000000e+00,2.405374875922313208e-02
3.000000000000000000e+00,3.611323175867989926e-02
4.000000000000000000e+00,4.817604361176378025e-02
5.000000000000000000e+00,6.027003268897702243e-02
6.000000000000000000e+00,7.236964308035763460e-02
7.000000000000000000e+00,8.444967091733988906e-02
8.000000000000000000e+00,9.652004839299184458e-02
9.000000000000000000e+00,1.085553970390230744e-01
1.000000000000000000e+01,1.205821063959195277e-01
1.100000000000000000e+01,1.326132722671952147e-01
1.200000000000000000e+01,1.446189595736918632e-01
1.300000000000000000e+01,1.566536354090690697e-01
1.400000000000000000e+01,1.686979790796382384e-01
1.500000000000000000e+01,1.807816118249184478e-01
1.600000000000000000e+01,1.928264135351229203e-01
1.700000000000000000e+01,2.048212760816228994e-01
1.800000000000000000e+01,2.168293050340575068e-01
1.900000000000000000e+01,2.288454224674551507e-01
2.000000000000000000e+01,2.408618996686899827e-01
2.100000000000000000e+01,2.528829592940407545e-01
2.200000000000000000e+01,2.648805574883160152e-01
2.300000000000000000e+01,2.768477569120157411e-01
2.400000000000000000e+01,2.887861332971154993e-01
2.500000000000000000e+01,3.007778915326383418e-01
2.600000000000000000e+01,3.127480313661779587e-01
2.700000000000000000e+01,3.247079463945461431e-01
2.800000000000000000e+01,3.366464026957731170e-01
2.900000000000000000e+01,3.485850698836053807e-01
3.000000000000000000e+01,3.605526080951870216e-01
3.100000000000000000e+01,3.725375350457315604e-01
3.200000000000000000e+01,3.844965224240606272e-01
3.300000000000000000e+01,3.964334262258018549e-01
3.400000000000000000e+01,4.083854687412855622e-01
3.500000000000000000e+01,4.203236176434939075e-01
3.600000000000000000e+01,4.322397534266018138e-01
3.700000000000000000e+01,4.441693967971429013e-01
3.800000000000000000e+01,4.560674360333801802e-01
3.900000000000000000e+01,4.679491461558359378e-01
4.000000000000000000e+01,4.798347546662967700e-01
4.100000000000000000e+01,4.917421612592878799e-01
4.200000000000000000e+01,5.036745508580674491e-01
4.300000000000000000e+01,5.156150509822980954e-01
4.400000000000000000e+01,5.275376028794316330e-01
4.500000000000000000e+01,5.394922992420317920e-01
4.600000000000000000e+01,5.514300260033239143e-01
4.700000000000000000e+01,5.633612750472599684e-01
4.800000000000000000e+01,5.752423334199289195e-01
4.900000000000000000e+01,5.871466747079892023e-01
5.000000000000000000e+01,5.990331142970022338e-01
5.100000000000000000e+01,6.109155091531428550e-01
5.200000000000000000e+01,6.227893837613402983e-01
5.300000000000000000e+01,6.346683091534599530e-01
5.400000000000000000e+01,6.465558462981740862e-01
5.500000000000000000e+01,6.583966512677018601e-01
5.600000000000000000e+01,6.702751922484520009e-01
5.700000000000000000e+01,6.821173285193263824e-01
5.800000000000000000e+01,6.939446538752652716e-01
5.900000000000000000e+01,7.057550839670163612e-01
6.000000000000000000e+01,7.174837324461342813e-01
6.100000000000000000e+01,7.292322086003809600e-01
6.200000000000000000e+01,7.409404042370615340e-01
6.300000000000000000e+01,7.526571679129674397e-01
6.400000000000000000e+01,7.643960445373227941e-01
6.500000000000000000e+01,7.760994408295086577e-01
6.600000000000000000e+01,7.877994535739392123e-01
6.700000000000000000e+01,7.994885027587024240e-01
6.800000000000000000e+01,8.111817018068758767e-01
6.900000000000000000e+01,8.228934197519036653e-01
7.000000000000000000e+01,8.345977284774829252e-01
7.100000000000000000e+01,8.462790036220155798e-01
7.200000000000000000e+01,8.580282632414741872e-01
7.300000000000000000e+01,8.697446690916794676e-01
7.400000000000000000e+01,8.814669846538809583e-01
7.500000000000000000e+01,8.931478697677351919e-01
7.600000000000000000e+01,9.048562417138281688e-01
7.700000000000000000e+01,9.165542943089380890e-01
7.800000000000000000e+01,9.282355876830590269e-01
7.900000000000000000e+01,9.399177986910552951e-01
8.000000000000000000e+01,9.515732739909114057e-01
8.100000000000000000e+01,9.631979792369320670e-01
8.200000000000000000e+01,9.748226661650809532e-01
8.300000000000000000e+01,9.865049128630183350e-01
8.400000000000000000e+01,9.981930140920416417e-01
8.500000000000000000e+01,1.009870735538293207e+00
8.600000000000000000e+01,1.021546183426775389e+00
8.700000000000000000e+01,1.033217008820643601e+00
8.800000000000000000e+01,1.044953973888371301e+00
8.900000000000000000e+01,1.056693800454955090e+00
9.000000000000000000e+01,1.068437924816111551e+00
9.100000000000000000e+01,1.080202482167364808e+00
9.200000000000000000e+01,1.091966019345151251e+00
9.300000000000000000e+01,1.103657624935374448e+00
9.400000000000000000e+01,1.115311535346810379e+00
9.500000000000000000e+01,1.126987847452009861e+00
9.600000000000000000e+01,1.138694846531623561e+00
9.700000000000000000e+01,1.150389976229218236e+00
9.800000000000000000e+01,1.162022707372384334e+00
9.900000000000000000e+01,1.173711823271053278e+00
1.000000000000000000e+02,1.185389423649597873e+00
