z_nm,synthetic_pmf_kJ_mol,analytic_kJ_mol
-2.475000000000000089e+00,nan,1.225000000000000000e+01
-2.424999999999999822e+00,6.431790498916102550e+00,1.175999999999999801e+01
-2.375000000000000000e+00,nan,1.127999999999999936e+01
-2.325000000000000178e+00,7.377314907357114038e+00,1.081000000000000050e+01
-2.274999999999999911e+00,nan,1.034999999999999787e+01
-2.225000000000000089e+00,9.751992443529751142e+00,9.900000000000000355e+00
-2.174999999999999822e+00,9.826719316902735812e+00,9.459999999999997300e+00
-2.125000000000000000e+00,1.083553224682068361e+01,9.029999999999999361e+00
-2.075000000000000178e+00,9.050426335964580460e+00,8.610000000000001208e+00
-2.024999999999999911e+00,7.818426738202386872e+00,8.199999999999999289e+00
-1.975000000000000089e+00,8.617653534693154427e+00,7.800000000000000711e+00
-1.924999999999999822e+00,7.630213538803737094e+00,7.409999999999999254e+00
-1.875000000000000000e+00,6.823411547607749483e+00,7.030000000000000249e+00
-1.824999999999999956e+00,6.549277877853828755e+00,6.660000000000000142e+00
-1.774999999999999911e+00,6.250221480412099240e+00,6.299999999999999822e+00
-1.725000000000000089e+00,5.900533682273733760e+00,5.950000000000001066e+00
-1.674999999999999822e+00,5.738946625815549041e+00,5.609999999999999432e+00
-1.625000000000000000e+00,5.413685194461050898e+00,5.280000000000000249e+00
-1.574999999999999956e+00,4.848134445726891784e+00,4.959999999999999964e+00
-1.524999999999999911e+00,4.715829051892072243e+00,4.649999999999999467e+00
-1.475000000000000089e+00,4.470818130436384763e+00,4.350000000000000533e+00
-1.424999999999999822e+00,4.183306413465892604e+00,4.059999999999999609e+00
-1.375000000000000000e+00,3.778869730629558887e+00,3.779999999999999805e+00
-1.324999999999999734e+00,3.644228250802079572e+00,3.509999999999998455e+00
-1.274999999999999911e+00,3.316025037023884181e+00,3.249999999999999556e+00
-1.225000000000000089e+00,3.028729184632890536e+00,3.000000000000000444e+00
-1.174999999999999822e+00,2.802962273374914659e+00,2.759999999999998899e+00
-1.125000000000000000e+00,2.624491200653382705e+00,2.529999999999999805e+00
-1.074999999999999734e+00,2.340089688250378330e+00,2.309999999999998721e+00
-1.024999999999999911e+00,2.003519929445660708e+00,2.099999999999999645e+00
-9.749999999999999778e-01,1.919817177304143030e+00,1.899999999999999911e+00
-9.249999999999999334e-01,1.721808530864860742e+00,1.709999999999999742e+00
-8.749999999999998890e-01,1.665578286473737180e+00,1.529999999999999583e+00
-8.249999999999998446e-01,1.388970957364650261e+00,1.359999999999999432e+00
-7.749999999999999112e-01,1.224049785660524137e+00,1.199999999999999734e+00
-7.249999999999999778e-01,1.189748340450249131e+00,1.050000000000000044e+00
-6.749999999999999334e-01,9.493547006163716162e-01,9.099999999999998090e-01
-6.249999999999998890e-01,7.817309381621981856e-01,7.799999999999998046e-01
-5.749999999999998446e-01,7.628545812810241245e-01,6.599999999999996980e-01
-5.249999999999999112e-01,6.309512637571597082e-01,5.499999999999998224e-01
-4.749999999999998668e-01,5.554730077539389299e-01,4.499999999999997891e-01
-4.249999999999998224e-01,5.348331792165943455e-01,3.599999999999997091e-01
-3.750000000000000000e-01,4.054296877934238097e-01,2.800000000000000266e-01
-3.249999999999999556e-01,3.131050804768236162e-01,2.099999999999999367e-01
-2.749999999999999112e-01,2.645016812362079861e-01,1.499999999999999112e-01
-2.249999999999998668e-01,1.612321592688239491e-01,9.999999999999989453e-02
-1.749999999999998224e-01,1.232934547916979540e-01,5.999999999999987982e-02
-1.249999999999997780e-01,0.000000000000000000e+00,2.999999999999989828e-02
-7.499999999999973355e-02,1.192459438861686039e-01,9.999999999999929085e-03
-2.499999999999991118e-02,1.962216657688919952e-02,0.000000000000000000e+00
2.500000000000013323e-02,5.539461299628989366e-02,2.211772431870429045e-17
7.500000000000017764e-02,1.578194450928958048e-01,1.000000000000006266e-02
1.250000000000002220e-01,2.259576546335271274e-01,3.000000000000012032e-02
1.750000000000002665e-01,1.320733947062056046e-01,6.000000000000019207e-02
2.250000000000000888e-01,1.935578031974394264e-01,1.000000000000000888e-01
2.750000000000001332e-01,2.785118815381579793e-01,1.500000000000001332e-01
3.250000000000001776e-01,1.754985400340700608e-01,2.100000000000002420e-01
3.750000000000002220e-01,4.403284270672056522e-01,2.800000000000003597e-01
4.250000000000002665e-01,4.675112313131641884e-01,3.600000000000004863e-01
4.750000000000000888e-01,5.390888898439367694e-01,4.500000000000001776e-01
5.250000000000001332e-01,5.559754245814616525e-01,5.500000000000002665e-01
5.750000000000001776e-01,6.915786715308929189e-01,6.600000000000004752e-01
6.250000000000002220e-01,8.194019817658801941e-01,7.800000000000005818e-01
6.750000000000002665e-01,9.850184303938203101e-01,9.100000000000006972e-01
7.250000000000000888e-01,1.154716918881097953e+00,1.050000000000000266e+00
7.750000000000001332e-01,1.355835942778748304e+00,1.200000000000000400e+00
8.250000000000001776e-01,1.354757722060817571e+00,1.360000000000000542e+00
8.750000000000002220e-01,1.624177927098859442e+00,1.530000000000000915e+00
9.250000000000002665e-01,1.865502416504877914e+00,1.710000000000001075e+00
9.750000000000000888e-01,1.947489267684000325e+00,1.900000000000000355e+00
1.025000000000000133e+00,2.161227428122783678e+00,2.100000000000000533e+00
1.075000000000000178e+00,2.380718906974498950e+00,2.310000000000000497e+00
1.125000000000000222e+00,2.615069858564678995e+00,2.530000000000000693e+00
1.175000000000000266e+00,2.842321433173520262e+00,2.760000000000001119e+00
1.225000000000000089e+00,3.125386761392713098e+00,3.000000000000000444e+00
1.275000000000000133e+00,3.330692912889340107e+00,3.250000000000000444e+00
1.325000000000000178e+00,3.662428830189869089e+00,3.510000000000000675e+00
1.375000000000000222e+00,3.827518517739123993e+00,3.780000000000001137e+00
1.425000000000000266e+00,3.919396722437355152e+00,4.060000000000001386e+00
1.475000000000000089e+00,4.475301387540387310e+00,4.350000000000000533e+00
1.524999999999999911e+00,4.536519846535970402e+00,4.649999999999999467e+00
1.575000000000000178e+00,5.151467953202049088e+00,4.960000000000001741e+00
1.625000000000000444e+00,5.333263690035575877e+00,5.280000000000002913e+00
1.675000000000000266e+00,5.575433076885001782e+00,5.610000000000002096e+00
